Métrica,Treino,Validação,Delta
KS,0.33038442895760856,0.3177989162879456,-0.012585512669662957
AUC,0.7206916486477974,0.7125517559499455,-0.00813989269785198
GINI,0.4413832972955949,0.42510351189989093,-0.01627978539570396
Taxa Média,0.20740946759175363,0.20843197141704603,0.0
